State,Country of Birth,Persons
Western Australia,Australia,1648804
Western Australia,England,196885
Western Australia,New Zealand,75591
Western Australia,India,61088
Western Australia,South Africa,44889
Western Australia,Philippines,37524
Western Australia,China,28415
Western Australia,Italy,18175
Western Australia,Vietnam,18080
Western Australia,Nepal,4449
Western Australia,Total,2660026
Northern Territory,Australia,161573
Northern Territory,Philippines,6391
Northern Territory,England,5053
Northern Territory,India,5045
Northern Territory,New Zealand,4041
Northern Territory,Nepal,2994
Northern Territory,China,1705
Northern Territory,Vietnam,1350
Northern Territory,South Africa,949
Northern Territory,Italy,502
Northern Territory,Total,232605
South Australia,Australia,1273356
South Australia,England,95248
South Australia,India,44881
South Australia,China,25709
South Australia,Vietnam,17033
South Australia,Italy,16653
South Australia,Philippines,15503
South Australia,New Zealand,13461
South Australia,South Africa,8212
South Australia,Nepal,7250
South Australia,Total,1781516
Queensland,Australia,3680014
Queensland,New Zealand,208572
Queensland,England,191731
Queensland,India,71819
Queensland,China,55762
Queensland,Philippines,51529
Queensland,South Africa,49699
Queensland,Vietnam,24455
Queensland,Italy,13217
Queensland,Nepal,10806
Queensland,Total,5156138
New South Wales,Australia,5277591
New South Wales,China,247595
New South Wales,England,231385
New South Wales,India,208962
New South Wales,New Zealand,118527
New South Wales,Philippines,106930
New South Wales,Vietnam,97995
New South Wales,Nepal,64946
New South Wales,South Africa,49740
New South Wales,Italy,47197
New South Wales,Total,8072163
Australian Capital Territory,Australia,306909
Australian Capital Territory,India,17203
Australian Capital Territory,England,13245
Australian Capital Territory,China,12149
Australian Capital Territory,Nepal,5689
Australian Capital Territory,New Zealand,5122
Australian Capital Territory,Philippines,5058
Australian Capital Territory,Vietnam,4082
Australian Capital Territory,South Africa,2338
Australian Capital Territory,Italy,1912
Australian Capital Territory,Total,454499
Victoria,Australia,4228686
Victoria,India,258193
Victoria,England,174552
Victoria,China,171447
Victoria,New Zealand,99344
Victoria,Vietnam,93598
Victoria,Philippines,68463
Victoria,Italy,64796
Victoria,South Africa,31274
Victoria,Nepal,20154
Victoria,Total,6503491
Tasmania,Australia,440818
Tasmania,England,19283
Tasmania,China,6830
Tasmania,Nepal,6219
Tasmania,India,6137
Tasmania,New Zealand,5483
Tasmania,Philippines,2441
Tasmania,South Africa,2089
Tasmania,Vietnam,1390
Tasmania,Italy,874
Tasmania,Total,557571
